"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,1086415,1260417.06626456
"2","Argentina",124493,113178,91657,90518,81298,74162,79465,74649,74546,100398,58671.1657955362
"3","Australia",388734,536867,529648,324939,342509,352909,353546,393363,403256,418400,363084.682429686
"4","Austria",133561,135516,128449,137049,141968,149512,151070,150738,138942,183898,341273.204743984
"5","Bélgica",178331,133682,132779,154218,151939,158016,173818,179019,249997,142726,136259.539181054
"6","Bolivia",20007,20560,28901,25764,25644,21978,24089,21088,19011,35589,-24915.5373932249
"7","Brasil",654106,627878,486777,486025,514700,560838,649738,647753,752225,884755,784117.346763182
"8","Canadá",982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1235444,1312766.62437806
"9","Chile",82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,146591.052962572
"10","China",840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2390793,2972993.0885066
"11","Colombia",190465,179994,171933,153204,162095,175006,185872,187382,196298,180228,130868.838004644
"12","Corea del Sur",228442,238649,240942,232077,221424,223735,243113,250260,256160,483006,256973.601592878
"13","Costa Rica",32270,32605,31219,33517,36045,36170,37284,36786,33285,49397,-30518.5146201433
"14","Dinamarca",110492,97713,90641,99598,12526.4277656812,23014.9333658567,78902.366557689,65800.3358547759,86015,135766.806075094,159361.569013835
"15","El Salvador",26059,19407,22063,23660,23964,24879,22465,21056,19339,19953,122347.925221476
"16","España",517481,493019,518836,549963,586438,602978,657606,616893,547971,605568,617927.158690186
"17","EUA",8535240,8038761,7789108,9566226,9969599,9738983,9815504,9054478,9182363,8934001,9285943.69306812
"18","Finlandia",128881,108923,107026,109209,107108,114699,118686,114371,104740,183476,246631.174071357
"19","Francia",777756,734679,695865,682263,728081,805731,825471,827851,771675,751127,805433.214668375
"20","Grecia",125269,113247,114100,137676,130515,133226,137697,128287,112671,148219,39422.8108383096
"21","Guatemala",374266.654780476,442640.44744449,482046.086118889,492501.332989776,490044.84031406,325946.60979394,575389.020205142,485335.725305311,401677.186914457,244683.787103658,407621.271550539
"22","Holanda",222539,250114,248246,254647,241084,250811,259827,262848,291713,242628,270017.197220068
"23","Hungría",31654,33290,40233,46837,47362,45781,51003,49795,45861,118034,317389.831170664
"24","India",206690,231413,263870,302790,330484,453921,569033,592292,601977,629991,869884.163298289
"25","Irlanda",156277,177032,231296,261345,303697,350204,416205,483741,528098,683441,791124.860924031
"26","Israel",47648,49404,46334,34152,34104,36257,47038,45309,47856,54347,-72265.3094604145
"27","Italia",393484,350552,385911,382317,445968,447749,431647,382590,382897,364329,501299.941633977
"28","Japón",640328,647953,639866,638430,651858,670252,656917,655495,641913,650310,535241.053425285
"29","Malasia",169840,189382,166716,170054,176152,163665,185052,176549,182002,240468,354072.755740051
"30","México",292208,278456,287017,330441,331225,317856,309633,266244,222356,186289,97688.357557668
"31","Nicaragua",479149.049047651,500544.610685597,492741.55309071,499448.139402885,420011.097589099,498663.829565005,587944.514213016,453004.202764755,482367.509587474,552156.572894138,598452.573735502
"32","Noruega",306511,270045,248403,254045,212198.944961555,234187.466061612,177666.215581089,242341.416474927,130757.438412369,250892.166953617,239800.34347621
"33","Panamá",24867,21883,25702,27434,30392,33003,40645,46292,66236,81287,-18448.4787168424
"34","Perú",44487,37482,36947,46917,60819,56072,61958,67840,65885,67941,35445.089847406
"35","Polonia",71799,69842,73137,77690,78992,83451,89289,90031,83053,91085,134427.736925849
"36","Portugal",96049,112324,117404,127025,148604,119668,138093,159135,123551,170744,-63328.2367050704
"37","Reino Unido",925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,1173434,1532689.91983862
"38","Rep. Checa",44164,46574,52127,66134,75295,75439,75830,78377,78153,94367,119317.873186669
"39","Rep. Dominicana",209082.995210314,317334.019650153,211717.924642661,246588.307191531,223450.879783026,266318.722992314,184556.841939839,232892.617218065,264140.926615373,347366.189913276,68118
"40","Rusia",329935,345262,350963,398958,390824,421170,467670,522577,475261,673113,659587.068176517
"41","Sudáfrica",122561,116985,130938,133222,148146,146648,152550,156567,151292,210296,194089.317743969
"42","Suecia",297623,271259,257840,266754,258317,254042,235871.836819414,256284,235091,237422,187530.19427547
"43","Suiza",284899,242800,189121,144703,134839,125126,139124,158788,168280,220272,255568.924797861
"44","Tailandia",102414,97750,93576,128178,124347,126845,129703,125907,123541,122066,106552.517925492
"45","Turquía",111342,105996,104377,121815,145952,177088,197132,215275,271835,399853,640108.911390826
"46","Venezuela",223075,166807,110062,123232,135574,139671,140774,137900,123646,125485,56518.0307663303
