"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"424","Rep. Dominicana","X2006",-0.24231454635029,3.24231454635029,3,3,4
"425","Rep. Dominicana","X2007",-0.16670218838228,3.16670218838228,3,3,4
"426","Rep. Dominicana","X2008",-0.2346919477858,3.2346919477858,3,3,4
"427","Rep. Dominicana","X2009",0.83972017096104,3.16027982903896,4,3,4
"428","Rep. Dominicana","X2010",-0.26346111609502,3.26346111609502,3,3,4
"429","Rep. Dominicana","X2011",4,3.06545532816147,4,4,3
"440","Rusia","X2011",3,3,3,3,3
"451","Sudáfrica","X2011",4,4,4,4,4
"462","Suecia","X2011",5,5,5,5,5
"473","Suiza","X2011",5,5,5,5,5
"484","Tailandia","X2011",3,3,3,3,3
"495","Turquía","X2011",3,3,3,3,3
"506","Venezuela","X2011",3,3,3,3,3
