"","Region","2001","2005","2010"
"1","Alemania",1.1,0.1,-19.3132315584789
"2","Argentina",21.5,29.2364689122555,-26.3157715353376
"3","Australia",16.7,6.0831698799584,7.4
"4","Austria",0.1,-3.71076508482544,21.4494580372837
"5","Bélgica",0,0,33.0141903923332
"6","Bolivia",125.38,135.790232281253,163.780284524354
"7","Brasil",36.6,31.7,-21.4548725151453
"8","Canadá",66.5399929273426,2.3,4.7
"9","Chile",21.3,22.9,69.3205768389617
"10","China",-195.509217030413,358,-83.3910956947193
"11","Colombia",4.9,6.65935487128006,5.9
"12","Corea del Sur",15.5679391118115,-32.304822799452,-39.4218890817297
"13","Costa Rica",15.97575777959,4.1,30.3062318878659
"14","Dinamarca",0.2,0.1,0.2
"15","El Salvador",0.8,1.2,-6.34108284533306
"16","España",23,20.1,19.6
"17","EUA",173.203041415017,67.1643916750718,264.700647281251
"18","Finlandia",0.1,0.1,5.32235063313485
"19","Francia",4.5,3.9,3.1
"20","Grecia",8.4,8.5,19.6013007284366
"21","Guatemala",1.5,1.9,-17.0052234451379
"22","Holanda",0.1,0.1,0.1
"23","Hungría",0.7,0.3,41.1483248223318
"24","India",558.4,566.779022888857,688
"25","Irlanda",0,1.07,46.3532368493798
"26","Israel",1,1.1,1
"27","Italia",20,12.9,-14.534711756075
"28","Japón",56.8,54.6,-104.395197528319
"29","Malasia",2.5,2.5,32.7915845223853
"30","México",56.1,60.6,61.8
"31","Nicaragua",1.2,22.1751090166546,1.5
"32","Noruega",0.8,0.8,26.3137228531053
"33","Panamá",0.7,-11.5700037391114,-12.1400869702635
"34","Perú",16.4,24.8223240448503,24.44
"35","Polonia",1.1,1.1,1.2
"36","Portugal",6.2,30.2148707412096,26.9108900403674
"37","Reino Unido",1.3,1.3,1.1
"38","Rep. Checa",-20.1110450648957,-14.0665271329622,-28.4853116096613
"39","Rep. Dominicana",-2.29065219056195,16.02,5.72366600976588
"40","Rusia",153.621342355607,101.576996625786,-142.59589556558
"41","Sudáfrica",7.8,13.2143608287941,51.1518116238667
"42","Suecia",0.1,0.1,33.81137997781
"43","Suiza",0.1,8.78139195800852,0.1
"44","Tailandia",21.89,51.8,38.19
"45","Turquía",31.5,29.6,34
"46","Venezuela",37.41,57.2334526368767,49.803905400423
