"","Region","Año","MI-RF","MI","RF"
"64","Bolivia","X2009",-0.90629140287357,2.91198777992693,3.8182791828005
"65","Bolivia","X2010",-0.0268361021335402,3.75872285194097,3.78555895407451
"164","El Salvador","X2010",-0.98362814171044,2.38531607180102,3.36894421351146
"224","Guatemala","X2004",-1.04811390871556,3.04067336681337,4.08878727552893
"228","Guatemala","X2008",-0.49492540594215,3.66346884641166,4.15839425235381
"230","Guatemala","X2010",-0.0366103368544293,4.15436983443202,4.19098017128645
