"","Region","2011"
"1","Alemania",512.78
"2","Argentina",388.07
"3","Australia",514.34
"4","Austria",495.91
"5","Bélgica",515.27
"6","Bolivia",198.642987349769
"7","Brasil",385.81
"8","Canadá",526.81
"9","Chile",421.06
"10","China",464.779637221438
"11","Colombia",380.85
"12","Corea del Sur",546.23
"13","Costa Rica",472.101389136632
"14","Dinamarca",503.28
"15","El Salvador",419.607080338188
"16","España",483.49
"17","EUA",487.4
"18","Finlandia",540.5
"19","Francia",496.78
"20","Grecia",466.1
"21","Guatemala",333.380230698255
"22","Holanda",525.84
"23","Hungría",490.17
"24","India",122.751957526999
"25","Irlanda",487.14
"26","Israel",446.86
"27","Italia",482.91
"28","Japón",528.99
"29","Malasia",495.748173118165
"30","México",418.51
"31","Nicaragua",333.155055244209
"32","Noruega",497.96
"33","Panamá",359.75
"34","Perú",365.11
"35","Polonia",494.8
"36","Portugal",486.89
"37","Reino Unido",492.41
"38","Rep. Checa",492.81
"39","Rep. Dominicana",348.066345045187
"40","Rusia",467.81
"41","Sudáfrica",206.581654099007
"42","Suecia",494.24
"43","Suiza",533.96
"44","Tailandia",418.58
"45","Turquía",445.45
"46","Venezuela",412.668791432676
